profile_idx,phase,tool,dataset,orig_Age,cf_Age,changed_Age,orig_Sex,cf_Sex,changed_Sex,orig_Job,cf_Job,changed_Job,orig_Housing,cf_Housing,changed_Housing,orig_Credit_Amount,cf_Credit_Amount,changed_Credit_Amount,orig_Duration_Months,cf_Duration_Months,changed_Duration_Months,orig_Saving_Account,cf_Saving_Account,changed_Saving_Account,orig_Checking_Account,cf_Checking_Account,changed_Checking_Account,orig_Num_Credits,cf_Num_Credits,changed_Num_Credits,model,orig_Education,cf_Education,changed_Education,orig_Marriage,cf_Marriage,changed_Marriage,orig_Credit_Limit,cf_Credit_Limit,changed_Credit_Limit,orig_Bill_Amt1,cf_Bill_Amt1,changed_Bill_Amt1,orig_Pay_Amt1,cf_Pay_Amt1,changed_Pay_Amt1,orig_Pay_Status1,cf_Pay_Status1,changed_Pay_Status1,orig_Utilization_Ratio,cf_Utilization_Ratio,changed_Utilization_Ratio
0,1,DiCE,German_Credit,29.0,34.7,True,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,3990.0,3990.0,False,36.0,36.0,False,0.0,0.0,False,1.0,1.0,False,1.0,2.3,True,RandomForest,,,,,,,,,,,,,,,,,,,,,
0,1,DiCE,German_Credit,29.0,29.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,3990.0,3990.0,False,36.0,36.0,False,0.0,2.8,True,1.0,0.3,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
0,1,DiCE,German_Credit,29.0,42.1,True,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,3990.0,3990.0,False,36.0,36.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
0,1,DiCE,German_Credit,29.0,29.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,3990.0,3990.0,False,36.0,64.6,True,0.0,2.1,True,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
0,1,DiCE,German_Credit,29.0,29.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,3990.0,3990.0,False,36.0,7.6,True,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
1,1,DiCE,German_Credit,48.0,48.0,False,1.0,1.0,False,3.0,3.0,False,2.0,2.0,False,12204.0,12204.0,False,48.0,48.0,False,0.0,0.0,False,1.0,0.2,True,1.0,2.2,True,RandomForest,,,,,,,,,,,,,,,,,,,,,
1,1,DiCE,German_Credit,48.0,48.0,False,1.0,1.0,False,3.0,3.0,False,2.0,2.0,False,12204.0,10230.2,True,48.0,48.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
1,1,DiCE,German_Credit,48.0,48.0,False,1.0,1.1,True,3.0,3.0,False,2.0,1.0,True,12204.0,12204.0,False,48.0,48.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
1,1,DiCE,German_Credit,48.0,48.0,False,1.0,1.1,True,3.0,3.0,False,2.0,2.0,False,12204.0,12204.0,False,48.0,48.0,False,0.0,2.8,True,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
1,1,DiCE,German_Credit,48.0,48.0,False,1.0,1.0,False,3.0,3.0,False,2.0,2.0,False,12204.0,8835.9,True,48.0,48.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
2,1,DiCE,German_Credit,23.0,23.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,1845.0,1845.0,False,45.0,45.0,False,0.0,1.6,True,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
2,1,DiCE,German_Credit,23.0,23.0,False,1.0,1.0,False,2.0,1.3,True,0.0,0.0,False,1845.0,1845.0,False,45.0,4.8,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
2,1,DiCE,German_Credit,23.0,23.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,1845.0,1845.0,False,45.0,30.1,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
2,1,DiCE,German_Credit,23.0,23.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,1845.0,1845.0,False,45.0,31.0,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
2,1,DiCE,German_Credit,23.0,39.6,True,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,1845.0,13738.9,True,45.0,45.0,False,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
3,1,DiCE,German_Credit,31.0,31.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6110.0,9942.7,True,48.0,48.0,False,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
3,1,DiCE,German_Credit,31.0,31.0,False,1.0,1.0,False,2.0,2.0,False,0.0,1.8,True,6110.0,8148.6,True,48.0,48.0,False,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
3,1,DiCE,German_Credit,31.0,31.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6110.0,10249.6,True,48.0,48.0,False,0.0,0.0,False,0.0,0.5,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
3,1,DiCE,German_Credit,31.0,31.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6110.0,6110.0,False,48.0,31.4,True,0.0,0.0,False,0.0,1.5,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
3,1,DiCE,German_Credit,31.0,72.0,True,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6110.0,6110.0,False,48.0,37.7,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
4,1,DiCE,German_Credit,38.0,38.0,False,0.0,0.0,False,3.0,3.0,False,0.0,0.0,False,12976.0,2912.9,True,18.0,18.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
4,1,DiCE,German_Credit,38.0,38.0,False,0.0,0.0,False,3.0,3.0,False,0.0,0.0,False,12976.0,4830.6,True,18.0,18.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
4,1,DiCE,German_Credit,38.0,38.0,False,0.0,0.6,True,3.0,3.0,False,0.0,0.0,False,12976.0,12976.0,False,18.0,38.1,True,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
4,1,DiCE,German_Credit,38.0,38.0,False,0.0,0.0,False,3.0,3.0,False,0.0,0.0,False,12976.0,2085.4,True,18.0,18.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
4,1,DiCE,German_Credit,38.0,38.0,False,0.0,0.0,False,3.0,3.0,False,0.0,0.0,False,12976.0,12976.0,False,18.0,43.3,True,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
5,1,DiCE,German_Credit,23.0,72.7,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,3913.0,3913.0,False,36.0,36.0,False,0.0,2.5,True,2.0,2.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
5,1,DiCE,German_Credit,23.0,23.0,False,1.0,1.0,False,2.0,1.3,True,2.0,2.0,False,3913.0,3913.0,False,36.0,36.0,False,0.0,2.7,True,2.0,2.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
5,1,DiCE,German_Credit,23.0,70.0,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,3913.0,6410.9,True,36.0,36.0,False,0.0,0.0,False,2.0,2.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
5,1,DiCE,German_Credit,23.0,71.4,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,3913.0,3913.0,False,36.0,36.0,False,0.0,0.0,False,2.0,2.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
5,1,DiCE,German_Credit,23.0,70.0,True,1.0,1.0,False,2.0,2.3,True,2.0,2.0,False,3913.0,3913.0,False,36.0,36.0,False,0.0,0.0,False,2.0,2.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
6,1,DiCE,German_Credit,32.0,32.0,False,1.0,1.0,False,2.0,2.0,False,1.0,1.0,False,11760.0,11760.0,False,39.0,39.0,False,1.0,1.4,True,1.0,1.0,False,1.0,3.3,True,RandomForest,,,,,,,,,,,,,,,,,,,,,
6,1,DiCE,German_Credit,32.0,32.0,False,1.0,1.0,False,2.0,2.0,False,1.0,0.5,True,11760.0,11760.0,False,39.0,39.0,False,1.0,1.5,True,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
6,1,DiCE,German_Credit,32.0,32.0,False,1.0,1.0,False,2.0,2.0,False,1.0,1.0,False,11760.0,10095.2,True,39.0,39.0,False,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
6,1,DiCE,German_Credit,32.0,32.0,False,1.0,1.0,False,2.0,2.0,False,1.0,1.0,False,11760.0,6680.8,True,39.0,39.0,False,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
6,1,DiCE,German_Credit,32.0,32.0,False,1.0,1.0,False,2.0,2.0,False,1.0,1.0,False,11760.0,11760.0,False,39.0,39.0,False,1.0,1.0,False,1.0,0.4,True,1.0,2.4,True,RandomForest,,,,,,,,,,,,,,,,,,,,,
7,1,DiCE,German_Credit,20.0,20.0,False,1.0,1.0,False,2.0,2.0,False,2.0,1.9,True,674.0,674.0,False,12.0,12.0,False,1.0,1.0,False,0.0,2.0,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
7,1,DiCE,German_Credit,20.0,20.0,False,1.0,1.0,False,2.0,3.1,True,2.0,2.0,False,674.0,674.0,False,12.0,13.8,True,1.0,1.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
7,1,DiCE,German_Credit,20.0,53.1,True,1.0,0.4,True,2.0,2.0,False,2.0,2.0,False,674.0,674.0,False,12.0,12.0,False,1.0,1.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
7,1,DiCE,German_Credit,20.0,20.0,False,1.0,1.0,False,2.0,1.0,True,2.0,2.0,False,674.0,674.0,False,12.0,57.0,True,1.0,1.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
7,1,DiCE,German_Credit,20.0,20.0,False,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,674.0,2292.7,True,12.0,24.3,True,1.0,1.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
8,1,DiCE,German_Credit,46.0,46.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,3931.0,3931.0,False,48.0,25.9,True,0.0,0.0,False,0.0,0.4,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
8,1,DiCE,German_Credit,46.0,46.0,False,1.0,1.0,False,2.0,2.0,False,0.0,1.8,True,3931.0,5359.3,True,48.0,48.0,False,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
8,1,DiCE,German_Credit,46.0,46.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,3931.0,3931.0,False,48.0,5.1,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
8,1,DiCE,German_Credit,46.0,46.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,3931.0,3931.0,False,48.0,8.0,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
8,1,DiCE,German_Credit,46.0,46.0,False,1.0,1.0,False,2.0,2.0,False,0.0,1.7,True,3931.0,3931.0,False,48.0,37.4,True,0.0,0.0,False,0.0,0.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
9,1,DiCE,German_Credit,38.0,38.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6681.0,6681.0,False,48.0,8.6,True,0.0,1.3,True,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
9,1,DiCE,German_Credit,38.0,38.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6681.0,13762.6,True,48.0,48.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
9,1,DiCE,German_Credit,38.0,38.0,False,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6681.0,6681.0,False,48.0,68.1,True,0.0,0.0,False,1.0,1.7,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
9,1,DiCE,German_Credit,38.0,35.3,True,1.0,1.0,False,2.0,2.0,False,0.0,0.0,False,6681.0,6681.0,False,48.0,48.0,False,0.0,0.0,False,1.0,1.5,True,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
9,1,DiCE,German_Credit,38.0,27.7,True,1.0,1.0,False,2.0,0.7,True,0.0,0.0,False,6681.0,6681.0,False,48.0,48.0,False,0.0,0.0,False,1.0,1.0,False,1.0,1.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
10,1,DiCE,German_Credit,24.0,62.4,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,9629.0,9629.0,False,36.0,36.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
10,1,DiCE,German_Credit,24.0,50.1,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,9629.0,9629.0,False,36.0,36.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
10,1,DiCE,German_Credit,24.0,58.6,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,9629.0,9629.0,False,36.0,36.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
10,1,DiCE,German_Credit,24.0,53.9,True,1.0,1.0,False,2.0,2.0,False,2.0,2.0,False,9629.0,9629.0,False,36.0,36.0,False,0.0,0.0,False,0.0,0.0,False,2.0,2.0,False,RandomForest,,,,,,,,,,,,,,,,,,,,,
